,label,git_commit_id,use_missing_value,seed,cv_score,k_score
0,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,0,0.7641921397379913,0.692
1,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1,0.8296751536435469,0.822
2,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,2,0.7678883071553229,0.717
3,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,3,0.7752613240418118,0.665
4,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,4,0.8442694663167104,0.77
5,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,5,0.7783641160949868,0.728
6,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,6,0.8333333333333334,0.732
7,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,7,0.8260869565217391,0.75
8,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,8,0.7968476357267951,0.651
9,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,9,0.8442694663167104,0.733
10,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,10,0.800524934383202,0.737
11,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1000,0.818815331010453,0.744
12,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1001,0.7789382071366405,0.739
13,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1002,0.8078602620087336,0.648
14,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1003,0.8115183246073299,0.767
15,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1004,0.7752613240418118,0.661
16,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1005,0.8224543080939948,0.708
17,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1006,0.7604895104895105,
18,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1007,0.8369851007887817,
19,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1008,0.7894736842105263,
20,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1009,0.8078602620087336,
21,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1010,0.7894736842105263,
22,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1011,0.7715780296425457,
23,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1012,0.7931638913234005,
24,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1013,0.8115183246073299,
25,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1014,0.818815331010453,
26,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1015,0.8369851007887817,
27,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1016,0.8369851007887817,
28,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,1017,0.7279860505666957,
29,Baseline,332ebe776b41b1dd39b3a91c979169abb52010aa,False,2000,0.8151700087183958,0.683
