,label,git_commit_id,use_missing_value,seed,cv_score,k_score
0,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,0,0.8551483420593369,0.808
1,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1,0.8151700087183958,0.737
2,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,2,0.800524934383202,0.689
3,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,3,0.7678883071553229,0.651
4,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,4,0.818815331010453,0.654
5,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,5,0.8115183246073299,
6,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,6,0.7968476357267951,
7,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,7,0.7306338028169014,
8,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,8,0.8041958041958042,
9,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,9,0.7456140350877193,
10,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,10,0.818815331010453,
11,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,11,0.7418788410886743,
12,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,12,0.8260105448154658,
13,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,13,0.7968476357267951,
14,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,14,0.8224543080939948,
15,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,15,0.7931638913234005,
16,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1000,0.800524934383202,0.751
17,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1001,0.7567804024496938,0.666
18,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1002,0.7715780296425457,
19,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1003,0.7678883071553229,
20,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1004,0.7279860505666957,
21,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1005,0.7493426818580193,
22,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1006,0.7715780296425457,
23,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1007,0.7317073170731707,
24,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1008,0.7493426818580193,
25,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1009,0.7567804024496938,
26,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1010,0.7493426818580193,
27,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1011,0.7641921397379913,
28,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1012,0.7715780296425457,
29,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1013,0.8296751536435469,
30,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1014,0.7715780296425457,
31,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1015,0.7931638913234005,
32,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1016,0.7715780296425457,
33,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1017,0.7752613240418118,
34,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1018,0.8041958041958042,
35,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1019,0.818815331010453,
36,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1020,0.8224543080939948,
37,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1021,0.7857769973661106,
38,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1022,0.7715780296425457,
39,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1023,0.7242582897033158,
40,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1024,0.8078602620087336,
41,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,1025,0.818815331010453,
42,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,2000,0.782608695652174,0.676
43,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,2001,0.7391304347826086,
44,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,2002,0.782608695652174,
45,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,2003,0.7931638913234005,
46,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,2004,0.818815331010453,
47,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,2005,0.7931638913234005,
48,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,2006,0.8151700087183958,
49,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,2007,0.7641921397379913,
50,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,2008,0.8224543080939948,
51,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,2009,0.818815331010453,
52,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,2010,0.8115183246073299,
53,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,2011,0.8078602620087336,
54,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,2012,0.8151700087183958,
55,Baseline,ca1865f298d5d1c2afba3d026939a64889d85062,False,2013,0.7641921397379913,
